"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @RDKLInc: This is Apple's first portable computer, yet it can be taken apart all the way down to the logic board WITHOUT ANY SCREWS!!!…",FALSE,0,NA,2021-02-20 00:11:47,FALSE,NA,"1362917832250580995",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rubbishmaker",8,TRUE,FALSE,NA,NA
"RT @krmarko: Having to jailbreak your tractor to get rudimentary diagnostics is an egregious abuse of customers and jeopardizes a farmer's…",FALSE,0,NA,2021-02-19 23:37:08,FALSE,NA,"1362909112695214082",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","timohara1",3,TRUE,FALSE,NA,NA
"RT @EnvironmentMO: Thank you to @Emily4Mo for introducing HB1118, our Right to Repair bill to reduce our e-waste and allows consumers to re…",FALSE,0,NA,2021-02-19 23:17:06,FALSE,NA,"1362904068344143880",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","SheWho_Resists",6,TRUE,FALSE,NA,NA
"Thank you @MissouriTimes for publishing our op-ed on #RightToRepair legislation in #Missouri. #moleg https://t.co/6rgBCKUIPK",FALSE,1,NA,2021-02-19 23:15:30,FALSE,NA,"1362903667188371456",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","EnvironmentMO",0,FALSE,FALSE,NA,NA
"More #RightToRepair content for y’all! https://t.co/E3MYalcF2i",FALSE,5,NA,2021-02-19 23:14:06,FALSE,NA,"1362903316053778433",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bridgeKCMO",0,FALSE,FALSE,NA,NA
"@cristo_radio I think we should talk about the #righttorepair",FALSE,0,"cristo_radio",2021-02-19 23:04:02,FALSE,NA,"1362900782631247874","19837128","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","knotlaphone",0,FALSE,FALSE,NA,NA
"RT @RDKLInc: This is Apple's first portable computer, yet it can be taken apart all the way down to the logic board WITHOUT ANY SCREWS!!!…",FALSE,0,NA,2021-02-19 22:51:16,FALSE,NA,"1362897567890034691",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kbhasi",8,TRUE,FALSE,NA,NA
"Help us conquer the e-waste mountain: https://t.co/QBOZLyzw0N #siliconmountain #sustainability #ewasterecycling… https://t.co/aUPItkINQR",FALSE,0,NA,2021-02-19 22:50:00,TRUE,NA,"1362897249500594180",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","TheVestedGroup",0,FALSE,FALSE,NA,NA
"Automobile &amp; farm equipment makers are bound by the same clean air rules. But Big Ag aggressively uses software to… https://t.co/GTOOVhjdnD",FALSE,9,NA,2021-02-19 22:38:36,TRUE,NA,"1362894380642807808",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","paulfroberts",3,FALSE,FALSE,NA,NA
"RT @RDKLInc: This is Apple's first portable computer, yet it can be taken apart all the way down to the logic board WITHOUT ANY SCREWS!!!…",FALSE,0,NA,2021-02-19 22:29:05,FALSE,NA,"1362891987435720706",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TechDiscountsMN",8,TRUE,FALSE,NA,NA
"In the latest Fight to Repair Weekly: How Big Ag Weaponizes The Clean Air Act To Keep Its Repair Monopoly by… https://t.co/1IIopVW0LN",FALSE,0,NA,2021-02-19 22:24:38,TRUE,NA,"1362890866973675520",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","securepairs",0,FALSE,FALSE,NA,NA
"We're incredibly grateful for @SenSusanEggman's leadership on this issue, and proud to be part of the team working… https://t.co/wE00E0jaED",FALSE,4,NA,2021-02-19 22:23:17,TRUE,NA,"1362890527327232002",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KerMaeve",3,FALSE,FALSE,NA,NA
"This needs to be addressed when companies can not be trusted to do what they say they will do and let customers fix… https://t.co/y5vY6bTEB2",FALSE,1,NA,2021-02-19 21:47:22,TRUE,NA,"1362881489030025224",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JerryFinelli",0,FALSE,FALSE,NA,NA
"In '2018 John Deere put the brakes on #RightToRepair legislation by promising to make tools and diagnostic software… https://t.co/ztuLSFiBjb",FALSE,3,NA,2021-02-19 21:45:40,TRUE,NA,"1362881061609422857",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","VPIRG",0,FALSE,FALSE,NA,NA
"RT @RDKLInc: This is Apple's first portable computer, yet it can be taken apart all the way down to the logic board WITHOUT ANY SCREWS!!!…",FALSE,0,NA,2021-02-19 21:40:18,FALSE,NA,"1362879710523498503",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","urban_plan_b",8,TRUE,FALSE,NA,NA
"RT @RDKLInc: This is Apple's first portable computer, yet it can be taken apart all the way down to the logic board WITHOUT ANY SCREWS!!!…",FALSE,0,NA,2021-02-19 21:39:58,FALSE,NA,"1362879624217247748",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AdrienakaMerte",8,TRUE,FALSE,NA,NA
"RT @RDKLInc: This is Apple's first portable computer, yet it can be taken apart all the way down to the logic board WITHOUT ANY SCREWS!!!…",FALSE,0,NA,2021-02-19 21:36:45,FALSE,NA,"1362878816469868547",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","c_ukonne",8,TRUE,FALSE,NA,NA
"This is Apple's first portable computer, yet it can be taken apart all the way down to the logic board WITHOUT ANY… https://t.co/9n1IKBIjdn",FALSE,36,NA,2021-02-19 21:36:07,TRUE,NA,"1362878657937743877",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RDKLInc",8,FALSE,FALSE,NA,NA
"Would your electronics purchasing decisions be influenced by a ""repair-ability score""? #righttorepair… https://t.co/fbpyrxantY",FALSE,1,NA,2021-02-19 21:35:15,TRUE,NA,"1362878437862514688",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","s_mckinley",0,FALSE,FALSE,NA,NA
"RT @Emily4Mo: I'm happy to help our environment and consumers!
#RightToRepair https://t.co/U2NMd62z3D",FALSE,0,NA,2021-02-19 21:28:27,FALSE,NA,"1362876726825652226",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jimkhm",4,TRUE,FALSE,NA,NA
"RT @EnvironmentMO: Thank you to @Emily4Mo for introducing HB1118, our Right to Repair bill to reduce our e-waste and allows consumers to re…",FALSE,0,NA,2021-02-19 21:28:14,FALSE,NA,"1362876672463286273",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jimkhm",6,TRUE,FALSE,NA,NA
"RT @EnvironmentMO: Thank you to @Emily4Mo for introducing HB1118, our Right to Repair bill to reduce our e-waste and allows consumers to re…",FALSE,0,NA,2021-02-19 21:27:26,FALSE,NA,"1362876471384174594",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amybett",6,TRUE,FALSE,NA,NA
